"Formatted ID","Name","Release","Percent Done By Story Plan Estimate","Percent Done By Story Count","Tags"
"FE5778","[Agenda Edu] - Implementar integração das listas de espera Agenda Edu e Totvs","PI11","0.0","0.0","OPPI11-RP2859"
"FE5782","[Agenda Edu] - Implementar notificação das Catracas pela Agenda Edu para escolas aplicáveis","PI11","0.0","0.0","OPPI11-RP2859"
"FE5785","[Agenda Edu] - Implementar integração de """"Planos de Aula Totvs"""" com """"Atividades AE"""" para escolas aplicáveis","PI11","0.0","0.0","OPPI11-RP2859"
"FE5786","[Agenda Edu] - Implementar notificação de Boletins/Notas pela Agenda Edu para escolas aplicáveis","PI11","0.0","0.0","OPPI11-RP2859"
"FE6221","[Integração CELV\Phidelis] - Criação de Interface com Usuário","PI11","0.0","0.0","OPPI11-RP2861"
"FE6409","[Integração CELV\Phidelis] - Criação de Segurança da API de Integração","PI11","0.0","0.0","OPPI11-RP2861"
"FE6420","[SigaLoja] - Mapeamento de Integrações","PI11","0.0","0.0","OPPI11-RP2862"
"FE6422","[SigaLoja] - Mapeamento de Ambientes (Produção)","PI11","0.0","0.0","OPPI11-RP2862"
"FE6425","[Ambientes] - Criação de Ambientes de Homologação","PI11","0.0","0.0",""
"FE6426","[SigaLoja] - Upgrade de Versão","PI11","0.0","0.0","OPPI11-RP2866"
"FE6427","[SigaLoja] - REORG","PI11","0.0","0.0","OPPI11-RP2865"
"FE6428","[Agenda Edu] - REORG - Correção da máscara da Agenda Edu para Reorg (inclusão de Campo)","PI11","0.0","0.0","OPPI11-RP2859"
"FE6430","[SigaLoja] - Apoio no processo de reconhecimento de vendas (Ano 2019)","PI11","0.0","0.0","OPPI11-RP2864"
"FE6445","[SigaLoja] - Cadastro de Produtos","PI11","0.0","0.0","OPPI11-RP2863"
"FE6446","[SigaLoja] - Cadastro de Cliente e Fornecedor","PI11","0.0","0.0","OPPI11-RP2863"
"FE6447","[SigaLoja] - Cadastro de Vendas e Outras Operações","PI11","0.0","0.0","OPPI11-RP2863"
"FE6448","[SigaLoja] - Relatórios","PI11","0.0","0.0","OPPI11-RP2863"
"FE6449","[SigaLoja] - Inventário","PI11","0.0","0.0","OSPI11-RP2873"
"FE6450","[Integração CELV\Phidelis] - Path to Prodution","PI11","0.0","0.0","OPPI11-RP2861"
"FE6452","[CELV] - Implantação CELV (Operações Escolares)","PI11","0.0","0.0","OPPI11-RP2860"
"FE6528","[TOTVS PDV] - Estudar recursos e funcionalidades do TOTVS PDV","PI11","0.0","0.0","OSPI11-RP2871"
"FE6529","[Portal TOTVS] - Venda de Material pelo Portal TOTVS","PI11","0.0","0.0","OSPI11-RP2872"
"FE6682","[Portal Rematrícula] - Acompanhar testes Captação 2021","PI11","0.0","0.0",""
"FE6683","[Venda de Material] - Captação 2021","PI11","0.0","0.0",""
"FE6684","[Sigaloja] - Imersão - (Exploratória)","PI11","0.0","0.0","OPPI11-RP2868"
"FE6689","[Colégio Visão] - Kickoff e Levantamento","PI11","0.0","0.0","OPPI11-RP2867"
"FE6758","[Integração CELV\Phidelis] - Desenvolver os testes unitários de script automatizados da integração CELV","PI11","0.0","0.0","OPPI11-RP2869"
"FE6760","[SigaLoja] - Desenvolver os testes unitários de script automatizados da REORG Sigaloja","PI11","0.0","0.0","OPPI11-RP2870"
